block_number,tx_hash,addr,topics_from_addr,topics_to_addr,value,value_usd,is_sender_victim,num_first_matched_digits,num_last_matched_digits,intended_addr
30040677,0x8edc363c1c80e3c2e1ef4034f6ba58c80c5949aee92416e756a3d646a7403f57,0x55d398326f99059fF775485246999027B3197955,0xfED4595194e9D0015c04e290C755CC06555f0B3e,0x01D1F34920d86278836B02dA38D8048AB760F270,6.7415e+20,674.1500000000001,True,4,4,0x01D1EC783FFaEfF4e984c75e2c3685Fa1C63F270
26595884,0xdedd1a72433b3348837469802d6ec28fb45e0577088bc4e643bb8b0fa3231766,0x55d398326f99059fF775485246999027B3197955,0xCaAbC8b253831D386977E4DE2a513AD9b295a434,0x6C76E40C179ec1209eC4C8441abFBfb50e7294C6,6.65e+20,665.0,True,3,5,0x6C7F6B91C8E6420BA095A4833F1B5Ac06dd294c6
39634378,0x8d93a7b39017c057c2cb184a01f7193c894216023f5f645ed6e89bbdf4102775,0x55d398326f99059fF775485246999027B3197955,0xbfa1f38107b1788cf32113cb0d87473a258abde4,0x839b083e797254edc91db10f8b5af975ab0371f8,6.633675e+20,663.3675,True,5,6,0x839b0501c53f9056dcd1918d5f7c2137f40371f8
25873210,0xd834e2ae9090db7fc26485798876440aa90ead4a3cccb5387b75bc579cc8cf9d,0x55d398326f99059fF775485246999027B3197955,0xc23c3bffC0e8602A7ffa5aCC9a11b6A72948df13,0xE00ca0ccd0cc8A0DD65e290A5cEdF8BCa9d4D6Bf,6.617679e+20,661.7679,True,3,5,0xe008F0b67ad39Def54678eB19732b8428D44D6BF
31385801,0xb88f39c8107c0ccd272a00de6783bc098b9c05e2d2ade5f4ffd99c494fd93056,0x55d398326f99059fF775485246999027B3197955,0x8c7dD0903BEAA5adB826c5570Ed01fE06b34219c,0xaDe612273Fb05F28fd5a63cc2f6AED3255f0f79a,6.6e+20,660.0,True,3,4,0xaDE1271334E04Eb6009fa3F727265aEB07d7F79a
38655088,0x4b3f4a9d9610efdc7277c1879129e3e941218808aa6198057004f3f72e7c8dbf,0x55d398326f99059fF775485246999027B3197955,0xd9b6a39de07f65e7944d5e98fbc0583ee189f0ae,0x08ff8ce54c322040df96a86f6d486fe0f25b091d,6.6e+20,660.0,True,3,7,0x08f3ab419d0c092233c82591bb9a80c9225b091d
26086149,0xb2f9a05fc679a59573d6c7e54d90bcdbcf136e59fe1ef5cd0f3ce2cd96b0906d,0x55d398326f99059fF775485246999027B3197955,0xF7FFbA8147dfb46Ec6a716ECec455CbFA05b6cEB,0x5aA6dBaE322d8E9f216C6d038e15C86e75f008a8,6.58e+20,658.0,True,3,6,0x5aa38749DFF51466C50EC82D746424AaffF008a8
24346259,0xd481418b3a5afbb8407c1d34f133eae5603acbc878f8e710ae4b8c5c2712a146,0x55d398326f99059fF775485246999027B3197955,0xF9B1C441A37C40f3482Bd34Ff7A4394B678D3c12,0xCD00BD0f2a2935ED13723e50baea0B72fc751c7e,6.562383e+20,656.2383,True,3,5,0xCD06f2AE3aa27F3d4808dF0c033dAa3Ef4451c7e
33731653,0xf86aa4b5d92c79c50ccda92ba8a6a52e385dc6298262d53bd5375f6e527a27b7,0x55d398326f99059fF775485246999027B3197955,0x1805ee96f1e56f3657b5d5227eb23465bfb8f904,0xcdf58cdc880ba3050b3dc70fbfe7de9dafe14e10,6.5497334e+20,654.97334,True,4,4,0xcdf5a3eef15236696c0bbee2a78433e871e64e10
30040647,0x4b423167f52dfbfdc5f295cbe6b16346528771d4be00f7e8094e122e5004e170,0x55d398326f99059fF775485246999027B3197955,0xfED4595194e9D0015c04e290C755CC06555f0B3e,0x01D1F34920d86278836B02dA38D8048AB760F270,6.533e+20,653.3,True,4,4,0x01D1EC783FFaEfF4e984c75e2c3685Fa1C63F270
